representacion,Statistical,FFT,Wavelet db4,STFT spectrogram
Statistical,1.0,0.9890583014313,0.9216027650250742,0.3894010874026904
FFT,0.9890583014313,1.0,0.7784833687572139,0.5853691712347625
Wavelet db4,0.9216027650250742,0.7784833687572139,1.0,0.11949503728587263
STFT spectrogram,0.3894010874026904,0.5853691712347625,0.11949503728587263,1.0
