representacion,clasificador,carga_train,carga_test,distancia_carga,fold,n_train,n_test,exactitud,f1_macro,f1_Normal,f1_IR,f1_B,f1_OR,segundos_ajuste,segundos_prediccion,en_comparacion
estadisticos_rmsnorm,SVM-RBF,0,1,1,0,991,311,0.8327974276527331,0.82468598987446,0.9947089947089947,0.7804878048780488,0.7301587301587301,0.7933884297520661,0.05348000000230968,0.024085499986540526,False
estadisticos_rmsnorm,SVM-RBF,0,1,1,1,1006,296,0.8141891891891891,0.8026610586561198,0.978021978021978,0.7543859649122807,0.7241379310344828,0.7540983606557377,0.03238510002847761,0.03290520003065467,False
estadisticos_rmsnorm,SVM-RBF,0,1,1,2,1006,295,0.7152542372881356,0.7336166350455577,0.76,0.7719298245614035,0.616822429906542,0.7857142857142857,0.03197450004518032,0.023042600019834936,False
estadisticos_rmsnorm,SVM-RBF,0,1,1,3,1006,296,0.8006756756756757,0.8000312420571041,0.9431818181818182,0.7758620689655172,0.6810810810810811,0.8,0.027020500041544437,0.023543099989183247,False
estadisticos_rmsnorm,SVM-RBF,0,1,1,4,1011,291,0.7800687285223368,0.7854544891876478,0.8862275449101796,0.7927927927927928,0.6770833333333334,0.7857142857142857,0.028153699997346848,0.021688800014089793,False
estadisticos_rmsnorm,SVM-RBF,0,2,2,0,991,311,0.7781350482315113,0.7808104215368247,0.9204545454545454,0.7394957983193278,0.6699029126213593,0.7933884297520661,0.027815299981739372,0.022823799983598292,False
estadisticos_rmsnorm,SVM-RBF,0,2,2,1,1006,295,0.8169491525423729,0.8069112461377654,0.9723756906077348,0.7567567567567568,0.7292817679558011,0.7692307692307693,0.027841700008139014,0.023448200023267418,False
estadisticos_rmsnorm,SVM-RBF,0,2,2,2,1006,297,0.7710437710437711,0.7642996379838485,0.9555555555555556,0.6666666666666666,0.6455026455026455,0.7894736842105263,0.028234099969267845,0.023576000006869435,False
estadisticos_rmsnorm,SVM-RBF,0,2,2,3,1006,295,0.8,0.7943457605012311,0.9666666666666667,0.743801652892562,0.6704545454545454,0.7964601769911505,0.02851490001194179,0.02348490001168102,False
estadisticos_rmsnorm,SVM-RBF,0,2,2,4,1011,291,0.8247422680412371,0.8150413959840189,0.9836065573770492,0.7678571428571429,0.7159090909090909,0.7927927927927928,0.0293328000116162,0.02274420001776889,False
estadisticos_rmsnorm,SVM-RBF,0,3,3,0,991,311,0.684887459807074,0.6878187550350128,0.8343558282208589,0.5252525252525253,0.5916666666666667,0.8,0.025666799978353083,0.023574599996209145,False
estadisticos_rmsnorm,SVM-RBF,0,3,3,1,1006,299,0.7090301003344481,0.6931277219629318,0.9132947976878613,0.48936170212765956,0.6095238095238096,0.7603305785123967,0.029046199982985854,0.024684000003617257,False
estadisticos_rmsnorm,SVM-RBF,0,3,3,2,1006,294,0.7414965986394558,0.7162455283278113,0.9723756906077348,0.46153846153846156,0.6310679611650486,0.8,0.02873000002000481,0.02360359998419881,False
estadisticos_rmsnorm,SVM-RBF,0,3,3,3,1006,299,0.7391304347826086,0.7164093414358395,0.9726775956284153,0.4791666666666667,0.6206896551724138,0.7931034482758621,0.03017859999090433,0.023540500027593225,False
estadisticos_rmsnorm,SVM-RBF,0,3,3,4,1011,291,0.6907216494845361,0.6829330467193059,0.8588957055214724,0.4827586206896552,0.5972850678733032,0.7927927927927928,0.029580999980680645,0.02279620000626892,False
estadisticos_rmsnorm,SVM-RBF,1,0,1,0,1178,264,0.7386363636363636,0.7262914396258426,0.6713286713286714,0.9078947368421053,0.5454545454545454,0.7804878048780488,0.025380900013260543,0.01944279996678233,False
estadisticos_rmsnorm,SVM-RBF,1,0,1,1,1193,249,0.7590361445783133,0.7504835438993384,0.6764705882352942,0.9420289855072463,0.6037735849056604,0.7796610169491526,0.025810500024817884,0.017971299996133894,False
estadisticos_rmsnorm,SVM-RBF,1,0,1,2,1194,249,0.8232931726907631,0.8209089504483095,0.6911764705882353,0.9855072463768116,0.8141592920353983,0.7927927927927928,0.027404399996157736,0.018574499990791082,False
estadisticos_rmsnorm,SVM-RBF,1,0,1,3,1193,249,0.7951807228915663,0.7898002746567281,0.6865671641791045,0.9436619718309859,0.7289719626168224,0.8,0.02478109998628497,0.018283299985341728,False
estadisticos_rmsnorm,SVM-RBF,1,0,1,4,1198,244,0.7786885245901639,0.7710815682507217,0.6814814814814815,0.9295774647887324,0.6732673267326733,0.8,0.04230999998981133,0.029767800006084144,False
estadisticos_rmsnorm,SVM-RBF,1,2,1,0,1178,311,0.9163987138263665,0.9078373015873016,1.0,0.9861111111111112,0.8452380952380952,0.8,0.029290299979038537,0.025552499981131405,False
estadisticos_rmsnorm,SVM-RBF,1,2,1,1,1193,295,0.8949152542372881,0.8834539896838194,1.0,0.9496402877697842,0.7947019867549668,0.7894736842105263,0.024045899976044893,0.02336499997181818,False
estadisticos_rmsnorm,SVM-RBF,1,2,1,2,1194,297,0.9090909090909091,0.8978545400461069,1.0,0.9714285714285714,0.8235294117647058,0.7964601769911505,0.02830730000277981,0.021447399980388582,False
estadisticos_rmsnorm,SVM-RBF,1,2,1,3,1193,295,0.9016949152542373,0.8904682645920141,1.0,0.950354609929078,0.8079470198675497,0.8035714285714286,0.025891700002830476,0.02209980000043288,False
estadisticos_rmsnorm,SVM-RBF,1,2,1,4,1198,291,0.9106529209621993,0.8993137254901962,1.0,0.9705882352941176,0.8266666666666667,0.8,0.026332000037655234,0.02234089997364208,False
estadisticos_rmsnorm,SVM-RBF,1,3,2,0,1178,311,0.8713826366559485,0.8639694784504444,1.0,0.8805970149253731,0.7752808988764045,0.8,0.028032700007315725,0.022829800029285252,False
estadisticos_rmsnorm,SVM-RBF,1,3,2,1,1193,299,0.8461538461538461,0.8363529411764705,1.0,0.816,0.7294117647058823,0.8,0.025913399993442,0.02163889998337254,False
estadisticos_rmsnorm,SVM-RBF,1,3,2,2,1194,294,0.8367346938775511,0.8255431702248253,1.0,0.8059701492537313,0.6962025316455697,0.8,0.029250599967781454,0.026321800018195063,False
estadisticos_rmsnorm,SVM-RBF,1,3,2,3,1193,299,0.8729096989966555,0.8634472165332341,1.0,0.8854961832061069,0.7682926829268293,0.8,0.028738200024235994,0.022921399970073253,False
estadisticos_rmsnorm,SVM-RBF,1,3,2,4,1198,291,0.8694158075601375,0.8595540758676352,1.0,0.864406779661017,0.7738095238095238,0.8,0.0277252999949269,0.02247910003643483,False
estadisticos_rmsnorm,SVM-RBF,2,0,2,0,1178,264,0.6060606060606061,0.5990898046643326,0.6666666666666666,0.6412213740458015,0.36666666666666664,0.7218045112781954,0.028129099984653294,0.019209399993997067,False
estadisticos_rmsnorm,SVM-RBF,2,0,2,1,1194,249,0.7269076305220884,0.7303816907197661,0.71875,0.782608695652174,0.6470588235294118,0.773109243697479,0.027262500021606684,0.018932999984826893,False
estadisticos_rmsnorm,SVM-RBF,2,0,2,2,1192,249,0.8072289156626506,0.8063045212938494,0.6911764705882353,0.9552238805970149,0.7931034482758621,0.7857142857142857,0.027891900041140616,0.019920999999158084,False
estadisticos_rmsnorm,SVM-RBF,2,0,2,3,1194,249,0.7911646586345381,0.7914866520661077,0.6865671641791045,0.9230769230769231,0.7563025210084033,0.8,0.026404500007629395,0.018473300035111606,False
