Source,Sum of squares,df,F,p,Partial eta^2
Representation,0.1595,3,5.4661,0.0016,0.1318
Classifier,0.0687,2,3.5325,0.0327,0.0614
Load distance,0.237,2,12.1841,0.0,0.1841
Representation x Classifier,0.2865,6,4.9099,0.0002,0.2143
Representation x Load distance,0.103,6,1.7645,0.1132,0.0893
Classifier x Load distance,0.0178,4,0.458,0.7663,0.0167
Representation x Classifier x Load distance,0.0336,12,0.2883,0.9901,0.031
Residual,1.0504,108,,,0.5
