representacion,clasificador,carga_train,carga_test,distancia_carga,fold,n_train,n_test,exactitud,f1_macro,f1_Normal,f1_IR,f1_B,f1_OR,segundos_ajuste,segundos_prediccion,en_comparacion
estadisticos,SVM-RBF,0,0,0,0,991,264,0.9583333333333334,0.9577339042971668,0.96,1.0,0.9536423841059604,0.9172932330827068,0.0458801999920979,0.0247693000128492,True
estadisticos,SVM-RBF,0,0,0,1,1006,249,0.9397590361445785,0.9386442418497456,0.9387755102040816,1.0,0.9305555555555556,0.8852459016393442,0.0146132999798282,0.0107576000154949,True
estadisticos,SVM-RBF,0,0,0,2,1006,249,0.9598393574297188,0.9578833474573724,0.94,0.9784172661870504,0.9206349206349206,0.9924812030075189,0.0143153999815694,0.0107569000101648,True
estadisticos,SVM-RBF,0,0,0,3,1006,249,0.9678714859437751,0.967747952168053,0.968421052631579,0.978102189781022,0.9393939393939394,0.9850746268656716,0.0121297999867238,0.0096037999610416,True
estadisticos,SVM-RBF,0,0,0,4,1011,244,0.9508196721311476,0.947167216721672,0.9108910891089108,1.0,0.9777777777777776,0.9,0.0245726999710313,0.019213400024455,True
estadisticos,SVM-RBF,0,1,1,0,991,311,0.8456591639871383,0.8374999999999999,1.0,0.8,0.75,0.8,0.0259557999670505,0.0250400000368244,True
estadisticos,SVM-RBF,0,1,1,1,1006,296,0.8378378378378378,0.8230920302515347,0.9346733668341708,0.782608695652174,0.8072289156626506,0.7678571428571429,0.0241333000012673,0.0240502000087872,True
estadisticos,SVM-RBF,0,1,1,2,1006,295,0.8338983050847457,0.8190169511513345,0.9117647058823528,0.7758620689655172,0.8220858895705522,0.7663551401869159,0.0244514999794773,0.0231916999910026,True
estadisticos,SVM-RBF,0,1,1,3,1006,296,0.8378378378378378,0.8287730414746544,0.8857142857142857,0.8035714285714286,0.8258064516129032,0.8,0.0250032000476494,0.0258015999570488,True
estadisticos,SVM-RBF,0,1,1,4,1011,291,0.8316151202749141,0.8162498274594457,0.9528795811518324,0.7787610619469026,0.7810650887573964,0.7522935779816514,0.0244516999810002,0.023391900002025,True
estadisticos,SVM-RBF,0,2,2,0,991,311,0.7845659163987139,0.7537262269392407,1.0,0.6906474820143885,0.75,0.5742574257425742,0.0411299999686889,0.0349446000182069,True
