Representation,Fit [s],Predict [s]
STFT spectrogram,2.958884438751314,0.1137969508345122
CNN 2D,7.254223656246177,
Statistical,2.0117236095825017,0.04970413916598768
FFT,1.4139016612505657,0.18992239583264256
Wavelet db4,1.427684912084078,0.027659361251426116
